HAC,DEN,BHC
425.394,2.18583,432.579
425.62,2.18695,432.791
425.829,2.18793,432.469
425.634,2.1887,431.428
425.557,2.18928,431.193
425.883,2.1897,431.515
426.27,2.19002,431.537
426.532,2.19035,431.441
426.692,2.19075,431.526
426.92,2.19131,432.16
426.994,2.19193,432.403
426.616,2.19219,431.44
426.376,2.19203,431.645
426.504,2.19168,432.987
426.525,2.19129,433.792
426.566,2.19111,434.738
426.506,2.19114,435.361
426.213,2.19111,435.422
426.303,2.19104,436.282
426.505,2.19095,436.996
426.548,2.19082,437.162
426.486,2.19073,437.254
426.376,2.19055,437.025
426.27,2.19013,436.604
426.162,2.18949,436.095
426.001,2.18872,435.548
425.828,2.188,435.244
425.875,2.18739,435.157
425.959,2.18677,434.774
425.859,2.18606,434.071
425.841,2.18536,433.899
425.936,2.18486,434.21
426.139,2.18459,434.528
426.21,2.18449,434.66
426.163,2.18437,434.574
426.032,2.18405,434.375
425.908,2.18349,434.258
425.782,2.18265,434.019
425.654,2.18136,433.689
425.551,2.17971,433.449
425.376,2.17768,432.931
425.097,2.17518,432.238
424.839,2.17234,432.103
424.777,2.16943,432.563
424.664,2.16655,432.719
424.349,2.16352,432.378
424.543,2.16049,432.813
424.99,2.15761,433.281
424.78,2.15398,431.925
424.276,2.14915,430.673
423.921,2.14382,431.261
424.029,2.13926,432.62
424.501,2.13659,434.072
424.982,2.13577,435.206
425.453,2.13607,435.703
425.72,2.1365,435.395
425.801,2.13646,434.645
425.839,2.13582,433.971
425.785,2.13464,433.086
425.625,2.13282,431.952
425.47,2.13027,431.117
425.312,2.12743,430.881
425.212,2.12485,431.397
425.113,2.12294,432.306
424.579,2.12178,432.593
423.156,2.12133,432.074
426.435,2.12371,437.48
426.269,2.13071,440.598
425.251,2.13653,435.544
424.346,2.13742,428.772
423.576,2.13515,430.32
423.09,2.13135,433.155
423.9,2.127,434.899
424.451,2.12302,435.263
424.402,2.11966,435.016
424.237,2.11731,435.089
423.687,2.11618,435.066
423.044,2.11606,434.85
422.827,2.11644,434.833
422.338,2.11695,434.501
420.55,2.11775,433.412
425.066,2.11947,437.733
428.022,2.12387,442.092
427.175,2.12933,439.802
426.35,2.13319,435.304
426.002,2.13565,435.183
426.055,2.13775,437.25
426.4,2.1398,438.742
426.591,2.14166,439.23
426.407,2.143,438.746
425.703,2.14339,437.376
424.326,2.14252,435.546
421.773,2.14111,433.88
420.728,2.14012,433.524
421.986,2.14016,434.497
424.385,2.14153,435.961
425.607,2.14412,436.368
426.394,2.14741,436.11
426.79,2.15113,435.466
426.801,2.15449,434.466
426.456,2.15715,432.93
425.635,2.15891,430.775
424.44,2.15973,428.639
423.579,2.15985,427.555
423.128,2.15951,426.876
422.374,2.15878,425.504
420.968,2.15775,423.702
418.634,2.1566,421.577
414.714,2.15583,418.726
410.983,2.15569,416.626
411.992,2.15541,418.406
417.102,2.15419,422.666
419.903,2.15261,424.014
421.371,2.15098,423.754
421.938,2.14937,423.437
422.496,2.1476,423.985
423.314,2.14568,425.328
423.964,2.14371,426.613
424.363,2.14199,427.826
424.778,2.14054,429.538
425.375,2.13944,431.568
425.705,2.13877,432.925
425.609,2.13852,433.959
425.246,2.13854,435.065
424.932,2.13867,436.337
425.174,2.13904,437.96
425.604,2.1398,439.454
425.436,2.14092,440.053
424.591,2.14221,439.645
422.955,2.14345,438.527
421.645,2.1443,437.342
421.085,2.14468,436.478
421.643,2.14485,436.332
422.787,2.1451,436.271
423.622,2.14576,435.788
424.523,2.14736,435.76
425.342,2.15002,435.879
425.77,2.15331,435.191
425.653,2.15631,433.793
425.273,2.15851,432.261
424.879,2.16002,431.415
424.333,2.16113,430.746
423.612,2.16209,430.192
423.312,2.16318,430.536
423.731,2.16455,431.466
423.827,2.166,431.144
423.402,2.16714,429.78
422.799,2.16787,428.975
423.279,2.16845,430.094
424.418,2.16931,431.76
425.588,2.1706,432.711
426.321,2.17215,432.711
426.853,2.17384,432.883
427.07,2.1757,432.991
426.841,2.1776,432.566
426.353,2.17916,432.099
425.7,2.18003,431.67
425.331,2.18027,432.182
426.559,2.18054,435.303
427.246,2.1814,436.411
426.83,2.18226,434.345
425.778,2.18281,432.551
424.867,2.18308,432.88
424.286,2.18295,432.89
424.13,2.18261,433.006
424.714,2.18263,434.273
425.608,2.18335,435.354
426.04,2.18455,435.12
426.116,2.18586,434.314
426.162,2.18711,433.776
426.219,2.18826,433.495
426.198,2.18926,433.092
426.049,2.18988,431.974
425.945,2.1901,431.081
426.032,2.19002,430.565
426.165,2.18975,430
426.27,2.18934,429.396
