DEPT    .M ,RMG     .none ,RMN     .none   ,RMN-RMG,CAL     .none ,SP      .none,GR      .none,HAC     .non,BHC     .none,DEN     .none 
731.179,3.195,3.818,0.623,21.79,116.507,122.013,367.842,315.865,2.373
731.229,3.362,3.649,0.287,21.77,116.604,122.206,367.842,314.69,2.39
731.279,3.154,3.592,0.438,21.736,116.637,122.783,356.309,311.433,2.398
731.329,3.864,4.296,0.432,21.713,116.604,122.109,356.265,308.438,2.402
731.379,7,6.678,-0.322,21.717,116.669,121.436,276.816,303.098,2.409
731.429,10.16,9.631,-0.529,21.76,116.767,121.436,276.816,302.991,2.415
731.479,10.025,9.579,-0.446,21.833,116.897,122.206,250.327,310.949,2.412
731.529,7.136,6.73,-0.406,21.911,116.93,122.398,250.321,319.547,2.397
731.579,4.039,4.156,0.117,21.978,116.669,120.858,351.709,341.297,2.368
731.629,2.345,2.752,0.407,22.052,116.572,119.319,351.725,350.697,2.333
731.679,1.84,2.184,0.344,22.13,116.539,117.491,416.773,361.004,2.301
731.729,1.761,2.091,0.33,22.163,116.376,117.683,416.774,367.787,2.283
731.779,1.732,2.086,0.354,22.147,116.311,118.453,411.007,374.729,2.262
731.829,1.689,2.064,0.375,22.099,116.181,118.934,411.004,377.783,2.252
731.879,1.753,2.103,0.35,22.064,116.018,117.78,409.509,387.609,2.241
731.929,1.759,2.098,0.339,22.083,116.018,117.491,409.509,394.925,2.233
731.979,1.698,2.038,0.34,22.119,116.083,118.164,411.645,410.359,2.228
732.029,1.726,2.065,0.339,22.14,116.279,119.703,411.645,417.518,2.232
732.079,1.676,2.023,0.347,22.148,116.474,120.377,409.402,429.169,2.237
732.129,1.583,1.949,0.366,22.149,116.441,119.222,409.402,433.067,2.247
732.179,1.627,2.014,0.387,22.152,116.376,117.01,410.363,435.684,2.254
732.229,1.634,2.028,0.394,22.158,116.376,114.99,410.363,436.004,2.257
732.279,1.616,1.991,0.375,22.159,116.246,114.123,420.081,434.136,2.258
732.329,1.639,2.008,0.369,22.162,116.018,113.353,420.089,432.799,2.26
732.379,1.617,1.987,0.37,22.17,115.986,112.294,426.816,431.785,2.265
732.429,1.597,1.97,0.373,22.18,116.148,111.044,426.816,435.523,2.267
732.479,1.651,2.021,0.37,22.193,116.246,109.601,427.457,444.763,2.27
