DEPT    .M    ,RMG     .none ,RMN     .none ,RMN-RMG,CAL     .none ,SP      .none,GR      .none ,HAC     .none,BHC     .none,DEN     .none
850.519,4.547,2.838,-1.709,22.292,102.626,124.863,397.112,412.341,2.227
850.569,5.209,3.152,-2.057,22.427,102.695,119.764,390.705,413.942,2.24
850.619,4.483,3.597,-0.886,22.764,102.973,114.37,391.133,414.637,2.249
850.669,3.497,3.338,-0.159,23.191,103.182,109.957,400.425,416.186,2.254
850.719,3.227,2.93,-0.297,23.595,103.112,106.133,409.504,416.72,2.251
850.769,3.114,2.86,-0.254,23.888,103.112,101.225,423.826,416.345,2.239
850.819,3.249,2.916,-0.333,24.03,103.182,98.676,425.211,414.742,2.232
850.869,3.108,2.663,-0.445,24.063,103.112,96.91,416.026,409.883,2.23
850.919,2.798,2.384,-0.414,23.976,102.973,96.812,408.122,409.135,2.233
850.969,2.773,2.456,-0.317,23.802,102.904,96.812,396.8,410.149,2.236
851.019,2.621,2.527,-0.094,23.674,102.904,97.009,394.231,410.63,2.242
851.069,2.504,2.514,0.01,23.696,102.834,97.008,394.34,410.523,2.254
851.119,2.63,2.468,-0.162,23.849,102.973,96.028,402.137,407.692,2.263
851.169,2.584,2.338,-0.246,23.992,103.251,96.028,404.487,406.09,2.27
851.219,2.402,2.191,-0.211,24.003,103.182,96.616,405.875,404.061,2.265
851.269,2.419,2.14,-0.279,23.924,102.904,96.42,405.343,403.9,2.257
851.319,2.459,2.164,-0.295,23.897,102.626,96.518,406.839,404.808,2.25
851.369,2.376,2.179,-0.197,24.021,102.556,96.224,414.423,407.212,2.246
851.419,2.538,2.289,-0.249,24.226,102.626,97.793,414.637,407.639,2.247
851.469,2.796,2.358,-0.438,24.311,102.556,99.656,413.889,407.959,2.243
851.519,2.765,2.275,-0.49,24.163,102.487,102.11,414.104,408.228,2.244
851.569,2.688,2.235,-0.453,23.819,102.487,104.267,416.988,410.951,2.243
