DEPT    .M,RMG     .ohmm   ,RMN     .ohmm,RMN-RMG,CAL     .cm  ,SP      .mv   ,GR      .   ,HAC     .us/m  ,BHC     .   ,DEN     .g/cm3
805.32,2.627,2.79,0.163,22.394,130.436,103.839,389.957,402.457,2.236
805.37,2.671,3.009,0.338,22.578,130.451,104.849,403.098,406.303,2.227
805.42,2.793,3.203,0.41,22.68,130.474,107.541,409.509,408.173,2.224
805.47,2.837,3.191,0.354,22.65,130.498,110.457,420.727,412.447,2.228
805.52,2.809,3.115,0.306,22.534,130.501,111.355,425.748,414.477,2.236
805.57,2.785,3.23,0.445,22.471,130.476,111.691,432.265,419.124,2.236
805.62,2.795,3.404,0.609,22.501,130.467,112.364,440.064,425.694,2.231
805.67,2.926,3.422,0.496,22.586,130.51,115.057,444.658,430.769,2.211
805.72,3.106,3.431,0.325,22.733,130.575,115.954,455.876,439.637,2.2
805.77,3.199,3.448,0.249,22.876,130.601,116.851,466.346,444.07,2.172
805.82,3.196,3.276,0.08,22.865,130.574,115.505,473.718,446.795,2.139
805.87,3.214,3.016,-0.198,22.661,130.545,113.71,484.402,453.419,2.11
805.92,3.394,2.927,-0.467,22.311,130.551,113.262,485.256,455.876,2.082
805.97,3.533,3.007,-0.526,21.989,130.588,113.935,477.03,457.212,2.062
806.02,3.526,3.105,-0.421,21.88,130.635,115.057,469.872,457.425,2.062
806.07,3.643,3.114,-0.529,21.917,130.683,116.29,457.906,457.372,2.077
806.12,3.59,2.919,-0.671,21.985,130.713,117.637,453.098,457.265,2.107
806.17,2.919,2.508,-0.411,22.079,130.704,118.197,448.611,457.692,2.136
806.22,2.186,2.105,-0.081,22.174,130.668,118.87,450.321,459.882,2.156
806.27,1.93,1.925,-0.005,22.218,130.662,120.441,454.167,465.759,2.157
806.32,1.962,1.931,-0.031,22.177,130.716,122.796,454.915,468.056,2.15
806.37,2.105,1.999,-0.106,22.073,130.792,125.601,447.222,467.628,2.14
806.42,2.309,2.032,-0.277,21.983,130.832,126.274,439.209,461.485,2.143
806.47,2.28,1.956,-0.324,21.959,130.833,123.694,439.53,458.974,2.149
806.52,2.001,1.849,-0.152,22.009,130.829,119.992,442.201,451.549,2.157
806.57,1.897,1.832,-0.065,22.123,130.823,118.646,448.397,438.996,2.165
806.62,1.958,1.859,-0.099,22.265,130.786,119.319,453.739,432.639,2.17
806.67,1.989,1.882,-0.107,22.4,130.718,120.89,456.41,417.041,2.175
806.72,2.03,1.942,-0.088,22.429,130.645,121.338,450.641,408.013,2.188
806.77,2.125,2.184,0.059,22.302,130.624,121.002,426.389,391.133,2.202
806.82,2.368,2.628,0.26,22.107,130.658,120.441,409.829,383.761,2.227
806.87,2.73,3.04,0.31,21.95,130.675,119.207,371.581,370.299,2.26
806.92,3.272,3.69,0.418,21.87,130.605,119.431,349.359,364.209,2.297
806.97,4.638,5.172,0.534,21.792,130.458,118.422,300,355.449,2.329
807.02,6.917,6.994,0.077,21.681,130.319,117.3,286.004,354.006,2.35
807.07,8.289,7.376,-0.913,21.617,130.258,115.505,291.774,356.303,2.345
807.12,7.092,5.885,-1.207,21.646,130.272,112.364,307.585,359.028,2.344
807.17,4.656,4.176,-0.48,21.757,130.312,110.682,350.427,363.942,2.323
807.22,3.093,3.129,0.036,21.857,130.334,107.99,388.355,366.346,2.29
807.27,2.464,2.529,0.065,21.806,130.319,108.102,400.107,366.613,2.263
807.32,2.194,2.237,0.043,21.555,130.251,108.999,409.936,367.575,2.262
807.37,2.094,2.106,0.012,21.151,130.111,108.887,411.218,370.727,2.254
807.42,2.01,2.057,0.047,20.693,129.903,108.438,412.286,373.291,2.248
807.47,2.009,2.096,0.087,20.309,129.675,107.092,414.316,382.799,2.244
807.52,2.085,2.136,0.051,20.115,129.488,107.092,414.316,389.423,2.245
807.57,2.112,2.141,0.029,20.152,129.367,107.429,413.568,398.451,2.252
807.62,2.129,2.159,0.03,20.347,129.274,108.887,411.004,399.359,2.258
807.67,2.183,2.175,-0.008,20.557,129.169,110.794,407.586,399.733,2.261
807.72,2.257,2.234,-0.023,20.653,129.075,110.345,407.265,399.359,2.261
807.77,2.335,2.36,0.025,20.636,129.058,110.121,408.654,397.917,2.251
807.82,2.358,2.404,0.046,20.605,129.141,109.336,411.111,397.703,2.245
807.87,2.305,2.327,0.022,20.642,129.252,108.438,412.073,400.107,2.24
807.92,2.282,2.258,-0.024,20.755,129.292,107.877,411.966,402.457,2.237
807.97,2.271,2.202,-0.069,20.87,129.241,106.868,410.15,408.387,2.225
808.02,2.192,2.126,-0.066,20.909,129.164,106.419,405.342,419.658,2.227
808.07,2.154,2.095,-0.059,20.896,129.124,104.849,404.167,425.748,2.224
808.12,2.182,2.109,-0.073,20.907,129.127,104.737,403.633,437.073,2.21
808.17,2.166,2.107,-0.059,20.885,129.147,103.391,406.517,440.759,2.189
808.22,2.152,2.115,-0.037,20.714,129.184,102.493,406.41,439.957,2.174
808.27,2.196,2.162,-0.034,20.496,129.256,102.157,401.175,437.019,2.174
808.32,2.214,2.188,-0.026,20.441,129.352,102.044,398.932,434.402,2.176
808.37,2.14,2.116,-0.024,20.635,129.475,102.157,404.38,430.983,2.18
808.42,2.032,2.005,-0.027,20.979,129.637,102.381,409.722,430.235,2.179
808.47,2.005,1.977,-0.028,21.316,129.838,103.503,420.406,430.235,2.18
808.52,2.066,2.017,-0.049,21.63,130.059,105.41,425.321,429.968,2.184
808.57,2.139,2.04,-0.099,21.924,130.279,107.092,430.021,429.22,2.186
808.62,2.131,1.996,-0.135,22.095,130.501,109.56,428.953,428.686,2.206
808.67,1.995,1.907,-0.088,22.091,130.72,109.897,421.581,426.015,2.229
808.72,1.853,1.908,0.055,22.067,130.87,110.794,417.521,424.786,2.248
808.77,1.89,2.011,0.121,22.18,130.862,110.682,416.56,423.023,2.263
808.82,2.021,2.069,0.048,22.375,130.693,110.682,422.222,422.489,2.266
808.87,1.978,2.064,0.086,22.494,130.494,109.672,424.786,421.421,2.277
808.92,1.841,2.011,0.17,22.465,130.412,108.551,425.641,418.803,2.272
808.97,1.86,1.954,0.094,22.378,130.453,109.448,425.427,417.628,2.259
809.02,1.987,2.012,0.025,22.334,130.51,110.57,424.038,417.842,2.247
809.07,2.058,2.054,-0.004,22.337,130.518,112.925,417.949,416.934,2.238
809.12,1.999,2.039,0.04,22.343,130.528,115.169,415.385,417.041,2.235
809.17,1.896,2.071,0.175,22.303,130.595,118.085,411.538,419.284,2.241
809.22,1.949,2.119,0.17,22.234,130.686,119.319,411.859,420.406,2.251
809.27,2.183,2.237,0.054,22.206,130.731,121.114,413.889,419.551,2.271
809.32,2.367,2.36,-0.007,22.232,130.734,120.777,416.239,418.59,2.288
809.37,2.389,2.34,-0.049,22.263,130.756,119.656,421.261,417.575,2.301
809.42,2.339,2.284,-0.055,22.297,130.823,116.066,422.65,418.162,2.292
809.47,2.25,2.314,0.064,22.329,130.893,113.15,422.115,421.261,2.275
809.52,2.211,2.407,0.196,22.36,130.918,111.018,421.261,422.169,2.247
809.57,2.323,2.495,0.172,22.416,130.892,110.009,418.91,420.833,2.227
809.62,2.435,2.463,0.028,22.464,130.829,110.906,411.538,419.231,2.219
809.67,2.399,2.341,-0.058,22.496,130.75,112.925,411.752,420.032,2.22
809.72,2.303,2.246,-0.057,22.526,130.693,115.169,419.338,423.291,2.222
809.77,2.244,2.178,-0.066,22.542,130.682,117.973,429.06,429.701,2.227
809.82,2.271,2.185,-0.086,22.529,130.685,120.217,434.829,432.265,2.226
809.87,2.401,2.269,-0.132,22.495,130.652,121.899,440.705,430.502,2.223
809.92,2.492,2.268,-0.224,22.474,130.621,121.114,438.675,426.068,2.219
809.97,2.385,2.215,-0.17,22.475,130.632,119.88,435.684,420.994,2.213
810.02,2.232,2.248,0.016,22.484,130.68,118.87,436.111,420.62,2.208
810.07,2.185,2.219,0.034,22.475,130.723,118.646,441.239,421.795,2.207
810.12,2.129,2.086,-0.043,22.42,130.74,117.749,444.765,423.184,2.209
810.17,2.091,2.027,-0.064,22.343,130.753,115.842,441.239,422.436,2.214
810.22,2.108,2.058,-0.05,22.314,130.788,113.262,430.769,420.139,2.225
810.27,2.084,2.154,0.07,22.353,130.833,112.701,395.727,413.515,2.249
810.32,2.015,2.233,0.218,22.424,130.843,113.935,382.158,411.912,2.266
810.37,2.045,2.2,0.155,22.456,130.792,116.851,389.637,414.156,2.287
810.42,2.181,2.161,-0.02,22.413,130.707,118.422,406.731,415.652,2.291
810.47,2.208,2.142,-0.066,22.319,130.662,118.422,437.073,415.118,2.283
810.52,2.199,2.194,-0.005,22.23,130.708,116.627,429.38,410.523,2.264
810.57,2.365,2.423,0.058,22.212,130.824,116.515,398.184,404.006,2.251
810.62,2.657,2.641,-0.016,22.219,130.928,117.3,384.722,402.671,2.249
