DEPT    .M ,RMG     .ohmm ,RMN     .ohmm,RMN-RMG,CAL     .cm ,SP      .mv  ,GR      .   ,HAC     .us/m,BHC     .,DEN     .g/cm3 
792.45,4.696,5.105,0.409,23.129,123.878,92.381,385.363,379.38,2.125
792.5,5.151,5.572,0.421,23.112,123.689,94.641,373.291,379.22,2.134
792.55,5.736,5.688,-0.048,23.099,123.5,95.722,369.765,380.823,2.135
792.6,5.284,4.911,-0.373,23.093,123.311,96.312,368.91,383.28,2.134
792.65,4.611,4.837,0.226,23.091,123.027,97.393,374.359,383.494,2.127
792.7,5.731,6.455,0.724,23.084,122.838,101.029,387.714,387.073,2.109
792.75,7.023,7.55,0.527,23.069,122.98,104.469,386.752,389.69,2.087
792.8,6.931,7.096,0.165,23.046,123.074,108.597,371.368,389.957,2.068
792.85,6.267,6.65,0.383,23.01,123.122,112.036,361.538,387.233,2.074
792.9,7.153,7.973,0.82,22.944,123.216,116.066,360.363,385.043,2.054
792.95,9.229,9.969,0.74,22.863,123.122,119.014,372.863,386.325,2.054
793,10.069,10.417,0.348,22.817,122.98,121.176,396.581,390.545,2.051
793.05,9.259,9.351,0.092,22.821,122.885,122.749,405.662,397.329,2.041
793.1,7.551,7.848,0.297,22.836,122.838,124.714,409.402,400.748,2.025
793.15,7.194,7.505,0.311,22.833,122.743,127.368,420.62,406.09,2.005
793.2,7.847,8.128,0.281,22.819,122.176,128.842,426.709,407.853,1.988
793.25,7.638,8.221,0.583,22.836,121.467,129.333,426.709,407.959,1.977
793.3,7.348,8.034,0.686,22.887,121.277,127.368,421.581,407.372,1.975
793.35,7.56,8.28,0.72,22.938,121.183,124.714,416.88,406.624,1.986
793.4,7.857,8.503,0.646,22.984,120.994,123.044,410.47,407.959,1.997
793.45,7.317,7.957,0.64,23.011,120.899,123.044,410.363,410.63,2
793.5,6.431,7.409,0.978,23.004,120.852,122.159,412.821,414.423,1.998
793.55,6.519,7.72,1.201,22.969,120.946,120.292,412.393,413.675,1.99
793.6,6.8,7.878,1.078,22.928,121.041,117.933,405.662,408.974,1.985
793.65,6.249,7.317,1.068,22.91,120.994,115.869,400.321,407.692,1.991
793.7,5.755,6.962,1.207,22.913,120.946,116.066,392.415,406.25,2.001
793.75,5.981,7.13,1.149,22.922,120.899,116.754,391.453,404.594,2.018
793.8,6.197,7.45,1.253,22.917,120.805,119.014,392.949,399.947,2.03
793.85,6.085,7.503,1.418,22.88,120.615,122.257,394.872,397.756,2.038
793.9,6.147,7.328,1.181,22.827,120.426,125.206,390.278,396.902,2.04
793.95,6.168,6.977,0.809,22.781,120.474,126.582,374.68,399.092,2.036
794,5.861,6.803,0.942,22.769,120.474,127.957,369.124,399.786,2.034
794.05,6.4,8.018,1.618,22.806,120.332,130.021,374.893,399.786,2.03
794.1,7.684,9.214,1.53,22.884,120.284,131.987,391.774,397.596,2.029
794.15,7.436,8.209,0.773,22.96,120.095,133.461,397.97,396.741,2.023
794.2,6.114,7.083,0.969,22.99,119.717,133.068,404.808,397.169,2.02
794.25,5.86,7.312,1.452,22.988,119.433,130.513,405.876,397.703,2.017
794.3,5.609,6.977,1.368,22.998,119.339,127.269,408.227,397.543,2.012
794.35,4.716,6.004,1.288,23.039,119.386,124.911,409.081,397.756,2.008
794.4,4.28,5.585,1.305,23.083,119.433,123.535,409.829,400.588,2.004
794.45,4.15,5.501,1.351,23.114,119.433,122.945,411.111,402.991,2.011
794.5,4.039,5.519,1.48,23.143,119.386,122.847,408.44,408.066,2.021
794.55,4.102,5.684,1.582,23.175,119.244,121.569,406.944,410.256,2.034
794.6,4.204,5.753,1.549,23.202,119.149,120.587,407.799,410.741,2.049
794.65,4.157,5.583,1.426,23.211,119.244,121.275,408.868,410.99,2.062
794.7,4.08,5.34,1.26,23.197,119.339,124.321,411.432,411.971,2.071
794.75,3.997,5.017,1.02,23.172,119.339,128.547,415.598,413.013,2.078
794.8,3.798,4.611,0.813,23.169,119.433,131.79,419.231,414.329,2.079
794.85,3.525,4.186,0.661,23.193,119.575,133.559,419.765,414.407,2.084
794.9,3.241,3.792,0.551,23.212,119.622,132.871,411.111,413.124,2.09
794.95,3.141,3.725,0.584,23.203,119.575,130.513,405.021,412.05,2.104
795,3.264,4.053,0.789,23.172,119.386,130.021,391.987,411.848,2.111
795.05,3.646,4.678,1.032,23.148,119.055,128.744,389.637,413.107,2.121
795.1,4.118,5.208,1.09,23.143,118.866,128.154,398.397,415.292,2.131
795.15,4.27,5.297,1.027,23.146,118.866,127.171,405.876,416.373,2.126
795.2,4.401,5.287,0.886,23.154,118.913,127.073,413.675,417.207,2.113
795.25,4.442,5.08,0.638,23.157,119.102,127.466,414.637,417.184,2.088
795.3,4.053,4.622,0.569,23.152,119.244,129.333,415.385,416.162,2.078
795.35,3.841,4.46,0.619,23.144,119.197,131.692,415.385,415.068,2.072
795.4,4.028,4.571,0.543,23.14,119.197,132.085,413.462,411.075,2.078
795.45,4.107,4.552,0.445,23.149,119.339,133.461,412.927,404.816,2.092
795.5,4.016,4.505,0.489,23.169,119.48,134.542,408.547,406.023,2.1
795.55,4.113,4.719,0.606,23.178,119.528,134.542,410.577,408.951,2.113
795.6,4.645,5.119,0.474,23.176,119.528,132.871,424.893,405.369,2.124
795.65,5.793,5.743,-0.05,23.18,119.67,130.12,469.872,397.477,2.14
795.7,6.469,5.565,-0.904,23.215,119.764,126.188,475.641,385.114,2.159
795.75,5.078,3.895,-1.183,23.289,119.764,121.668,433.227,380.302,2.181
795.8,3.11,2.586,-0.524,23.379,120.001,117.933,405.021,377.566,2.204
795.85,2.411,2.309,-0.102,23.468,120.142,113.805,389.53,376.995,2.219
795.9,2.316,2.189,-0.127,23.549,120.001,110.071,340.278,376.623,2.236
795.95,2.302,2.133,-0.169,23.643,119.717,107.712,305.342,377.903,2.245
796,2.365,2.207,-0.158,23.749,119.244,107.417,222.543,385.971,2.251
796.05,2.737,2.44,-0.297,23.813,118.866,109.481,208.013,395.919,2.251
796.1,3.141,2.692,-0.449,23.837,118.866,111.742,343.162,411.353,2.255
796.15,2.91,2.7,-0.21,23.836,119.008,113.805,392.094,416.718,2.253
796.2,2.595,2.531,-0.064,23.792,119.102,115.181,444.872,415.805,2.248
796.25,2.506,2.367,-0.139,23.672,119.339,115.968,433.761,411.858,2.233
796.3,2.369,2.217,-0.152,23.498,119.622,116.361,426.709,405.581,2.214
796.35,2.207,2.003,-0.204,23.36,119.67,115.869,407.692,401.314,2.197
796.4,2.137,1.89,-0.247,23.33,119.622,113.805,394.444,394.716,2.187
796.45,2.255,2.063,-0.192,23.408,119.575,109.874,373.397,390.375,2.184
796.5,2.416,2.264,-0.152,23.518,119.575,107.221,382.265,386.075,2.193
796.55,2.48,2.28,-0.2,23.616,119.717,104.371,393.269,385.093,2.205
796.6,2.504,2.282,-0.222,23.694,119.906,102.405,410.256,385.343,2.225
796.65,2.512,2.307,-0.205,23.738,120.142,101.521,415.171,385.492,2.245
796.7,2.504,2.368,-0.136,23.792,120.142,101.324,425.641,384.803,2.256
796.75,2.565,2.532,-0.033,23.854,119.67,102.012,429.167,384.156,2.252
796.8,2.574,2.478,-0.096,23.879,119.291,102.307,434.295,386.023,2.243
796.85,2.424,2.203,-0.221,23.883,119.291,103.093,435.043,391.005,2.231
796.9,2.323,2.078,-0.245,23.885,119.197,105.354,430.235,400.099,2.231
796.95,2.249,2.058,-0.191,23.893,119.008,107.909,429.487,405.06,2.231
797,2.157,1.962,-0.195,23.901,119.055,110.759,428.098,409.663,2.226
797.05,2.302,1.951,-0.351,23.893,119.197,112.135,424.786,412.317,2.224
797.1,2.519,2.117,-0.402,23.874,119.197,114.002,421.795,415.585,2.22
797.15,2.422,2.129,-0.293,23.869,119.197,114.69,417.628,417.301,2.22
797.2,2.185,1.95,-0.235,23.899,119.339,116.655,417.521,418.972,2.235
797.25,2.074,1.854,-0.22,23.94,119.48,118.621,418.697,419.422,2.25
797.3,2.031,1.814,-0.217,23.953,119.433,119.997,421.902,419.089,2.269
797.35,1.952,1.726,-0.226,23.94,119.244,120.488,422.863,418.234,2.281
797.4,1.84,1.623,-0.217,23.943,119.244,121.176,424.893,416.13,2.285
797.45,1.777,1.577,-0.2,23.973,119.48,121.864,424.466,414.275,2.28
