DEPT    .M ,RMG     .ohmm  ,RMN     .ohmm  ,RMN-RMG,CAL     .cm   ,SP      .mv   ,GR      .  ,HAC     .us/m ,BHC     .   ,DEN     .g/cm3 
928.469,3.687,3.519,-0.168,22.898,109.781,95.61,407.692,396.421,2.119
928.519,3.849,3.739,-0.11,22.913,109.87,96.279,392.735,393.781,2.119
928.569,3.855,3.654,-0.201,22.913,110.101,95.706,390.171,393.979,2.118
928.619,3.698,3.656,-0.042,22.868,110.457,95.036,390.385,396.261,2.115
928.669,3.577,3.791,0.214,22.807,110.723,94.941,389.85,397.253,2.109
928.719,3.583,3.843,0.26,22.744,110.794,93.985,383.547,395.673,2.104
928.769,3.657,3.823,0.166,22.7,110.723,93.507,380.556,392.994,2.104
928.819,3.654,3.64,-0.014,22.662,110.492,91.213,378.633,388.477,2.1
928.869,3.221,3.23,0.009,22.619,110.19,89.302,382.479,386.157,2.095
928.919,3.141,3.355,0.214,22.624,110.012,89.206,389.637,384.348,2.086
928.969,3.667,3.889,0.222,22.699,109.995,90.64,390.705,383.982,2.083
929.019,3.901,4.081,0.18,22.808,110.03,92.647,386.645,384.096,2.086
929.069,4.102,4.164,0.062,22.841,110.048,94.463,383.547,383.868,2.091
929.119,4.558,4.421,-0.137,22.744,110.03,94.941,382.692,382.761,2.099
929.169,4.71,4.678,-0.032,22.601,109.941,95.132,383.974,381.96,2.101
929.219,4.652,4.753,0.101,22.498,109.799,95.992,383.227,381.586,2.103
929.269,4.566,4.661,0.095,22.465,109.693,97.33,380.769,382.135,2.107
929.319,4.248,4.264,0.016,22.496,109.639,98.86,386.966,382.311,2.115
929.369,3.839,3.762,-0.077,22.563,109.657,98.382,392.628,380.815,2.123
929.419,3.572,3.656,0.084,22.65,109.781,97.522,394.124,375.488,2.13
929.469,3.509,3.823,0.314,22.725,109.977,95.419,389.744,371.818,2.135
929.519,3.66,3.941,0.281,22.753,110.155,94.272,375.427,369.277,2.14
929.569,3.954,4.056,0.102,22.763,110.226,93.985,371.368,370.284,2.151
929.619,4.248,4.258,0.01,22.791,110.172,94.081,375.427,372.031,2.166
929.669,4.554,4.641,0.087,22.838,110.066,94.559,375.748,371.635,2.174
929.719,5.143,5.293,0.15,22.853,109.977,94.845,366.453,369.666,2.173
929.769,5.43,5.399,-0.031,22.821,109.941,95.132,356.624,369.399,2.166
929.819,4.809,4.671,-0.138,22.772,109.977,96.375,348.291,372.352,2.163
929.869,4.296,4.052,-0.244,22.746,110.03,97.139,366.987,375.069,2.158
929.919,4.058,3.592,-0.466,22.777,110.048,97.426,384.295,376.847,2.146
929.969,3.674,3.479,-0.195,22.786,110.048,96.853,401.282,375.618,2.14
930.019,4.019,3.92,-0.099,22.723,109.959,95.61,380.876,372.787,2.137
930.069,4.471,3.993,-0.478,22.623,109.835,93.029,368.269,372.253,2.146
930.119,4.094,3.848,-0.246,22.557,109.888,91.5,359.615,374.832,2.151
930.169,3.763,3.921,0.158,22.579,110.03,91.404,364.85,377.717,2.149
930.219,3.762,3.851,0.089,22.614,110.101,91.691,378.205,382.112,2.144
930.269,3.596,3.673,0.077,22.622,110.208,92.551,382.051,384.699,2.132
930.319,3.378,3.599,0.221,22.605,110.368,93.603,385.897,389.019,2.127
930.369,3.422,3.579,0.157,22.577,110.474,95.132,387.927,390.629,2.12
930.419,3.456,3.488,0.032,22.575,110.528,95.801,396.261,390.171,2.116
930.469,3.303,3.378,0.075,22.58,110.474,98.191,399.466,388.454,2.112
930.519,3.193,3.338,0.145,22.598,110.35,97.713,404.274,385.768,2.116
930.569,3.207,3.379,0.172,22.665,110.243,96.853,403.953,385.356,2.127
930.619,3.407,3.59,0.183,22.758,110.119,94.845,396.154,385.615,2.141
930.669,3.949,3.849,-0.1,22.851,110.048,93.412,384.615,384.989,2.153
930.719,4.044,3.808,-0.236,22.934,110.084,92.456,378.312,381.807,2.156
930.769,3.947,4.034,0.087,22.993,110.066,92.169,369.338,380.304,2.151
930.819,4.673,4.891,0.218,23.017,109.959,93.22,368.483,380.815,2.14
930.869,5.305,5.48,0.175,22.975,109.853,94.941,370.299,382.44,2.127
930.919,5.835,5.746,-0.089,22.9,109.764,96.661,372.222,383.516,2.119
930.969,6.06,5.67,-0.39,22.849,109.746,99.72,371.474,381.639,2.106
931.019,6.235,5.769,-0.466,22.795,109.746,102.683,362.393,377.518,2.095
931.069,6.661,6.209,-0.452,22.714,109.764,108.036,356.517,375.931,2.089
931.119,5.56,5.534,-0.026,22.645,109.835,114.057,358.333,380.113,2.078
931.169,4.09,4.386,0.296,22.632,109.906,119.983,369.017,385.111,2.069
931.219,3.702,3.839,0.137,22.648,109.977,125.145,394.231,392.682,2.054
931.269,3.476,3.684,0.208,22.63,109.941,127.63,400.641,395.688,2.039
931.319,3.287,3.488,0.201,22.569,109.781,128.968,400.427,398.634,2.031
931.369,3.789,3.847,0.058,22.494,109.604,128.299,403.205,400.87,2.025
931.419,4.618,4.624,0.006,22.459,109.462,126.483,414.53,404.739,2.02
931.469,4.471,4.277,-0.194,22.505,109.391,123.711,421.474,406.883,2.019
931.519,3.751,3.594,-0.157,22.578,109.355,119.219,421.688,408.227,2.022
931.569,3.862,3.833,-0.029,22.632,109.32,115.395,419.551,408.868,2.028
931.619,4.463,4.524,0.061,22.662,109.266,111.954,418.162,410.569,2.028
931.669,4.701,5.017,0.316,22.668,109.195,109.947,414.85,411.584,2.029
931.719,5.083,5.301,0.218,22.666,109.089,108.8,414.316,412.34,2.033
931.769,5.603,5.329,-0.274,22.675,108.982,107.558,416.453,411.79,2.035
931.819,5.394,5.073,-0.321,22.71,108.929,107.844,416.56,409.76,2.04
931.869,5.164,5.041,-0.123,22.755,108.911,108.418,411.859,407.028,2.043
931.919,5.379,5.152,-0.227,22.766,108.982,110.521,397.863,401.999,2.049
931.969,5.24,4.958,-0.282,22.738,109.089,113.101,392.308,399.191,2.059
932.019,5.341,5.273,-0.068,22.678,109.106,114.344,389.209,395.009,2.073
932.069,5.279,5.606,0.327,22.587,109.071,114.917,388.675,392.392,2.083
932.119,4.024,4.432,0.408,22.487,109.053,114.726,382.479,389.232,2.084
932.169,3.338,3.455,0.117,22.383,109,114.153,375.427,388.332,2.083
932.219,3.916,4.196,0.28,22.295,108.911,114.439,358.013,387.95,2.08
932.269,5.108,5.848,0.74,22.245,108.858,114.726,353.739,387.378,2.082
932.319,6.598,6.846,0.248,22.229,108.751,116.256,358.44,385.531,2.076
932.369,6.154,5.556,-0.598,22.227,108.644,116.542,374.893,385.089,2.064
932.419,4.024,3.678,-0.346,22.225,108.644,117.976,387.607,386.31,2.056
932.469,3.916,3.796,-0.12,22.246,108.609,119.123,393.803,388.088,2.053
